"category_id","name","language_iso_639_1"
"1","Genre","de"
"1","Genre","en"
"1","Género","es"
"1","Genre","fr"
"1","Gatunek","pl"
"2","Quelle","de"
"2","Source","en"
"2","Fuente","es"
"3","Gattung","de"
"3","Gattung","de"
"3","Class","en"
"3","Style","en"
"3","Tipo","es"
"4","Bedeutung","de"
"4","Geltung","de"
"4","Relevanz","de"
"4","Standing","en"
"4","Posición/Prestigio","es"
"5","Zielgruppe","de"
"5","Audience","en"
"5","Audiencia","es"
"5","Public cible","fr"
"6","Stilrichtung","de"
"6","Filmmaking Movement","en"
"6","Movimiento cinematográfico","es"
"7","Produktion","de"
"7","Production","en"
"7","Producción","es"
"8","Schlagwort","de"
"8","Keyword","en"
"8","Palabra clave","es"
"8","Mot clé","fr"
"9","Fachbegriff","de"
"9","Term","en"
"9","Términos","es"
"9","Terme","fr"
"10","Filmtechnik","de"
"10","Technical Format","en"
"10","Formato técnico","es"
"10","Technical Format","pl"
"11","Space Opera","de"
"11","Weltraum-Oper","de"
"11","Space Opera","en"
"11","Space opera","es"
"11","Space Opéra","fr"
"11","Kosmiczna opera","pl"
"12","Abenteuer","de"
"12","Adventure","en"
"12","Aventura","es"
"12","Aventure","fr"
"12","Przygodowy","pl"
"13","Märchen","de"
"13","Märchenfilm","de"
"13","Fairy Tale Film","en"
"13","Fairy-Tale Film","en"
"13","Cuento de hadas","es"
"13","Conte fantastique","fr"
"13","Baśń","pl"
"14","Fantasy","de"
"14","Fantasy-Film","de"
"14","Fantasyfilm","de"
"14","Fantasy","en"
"14","Cine fantástico","es"
"14","Fantasía","es"
"14","Fantastique","fr"
"14","Fantastyczny","pl"
"15","Computeranimation","de"
"15","Computer Animation","en"
"15","Animación informática","es"
"15","Animation numérique","fr"
"15","Animacja komputerowa","pl"
"16","Animationsfilm","de"
"16","Trickfilm","de"
"16","Animation Film","en"
"16","Animación","es"
"16","Animation","fr"
"16","Animowany","pl"
"17","Familienfilm","de"
"17","Familienfilm","en"
"17","Family Film","en"
"17","Película para toda la familia","es"
"17","Film familial","fr"
"18","Drama","de"
"18","dramatisch","de"
"18","Drama","en"
"18","Drama","en"
"18","dramatisch","en"
"18","Drama","es"
"18","Drame","fr"
"18","Dramat","pl"
"19","Liebesfilm","de"
"19","Romantic Drama","en"
"19","Drama romántico","es"
"19","Drame romantique","fr"
"19","Miłosny","pl"
"20","Dogma 95","de"
"20","Dogma 95","en"
"22","Filmmusical","de"
"22","Musical","de"
"22","Musicalfilm","de"
"22","Musikfilm","de"
"22","Musical","en"
"22","Musicals","en"
"22","Musical","es"
"22","Musical","fr"
"22","Muzyczny","pl"
"24","Europäisches Kino","de"
"24","European Cinema","en"
"24","Cine europeo","es"
"25","Dänisches Kino","de"
"25","Danish Cinema","en"
"25","Cine danés","es"
"27","Gruselfilm","de"
"27","Horror","de"
"27","Horror","de"
