"movie_id","abstract"
"42497","Tras 10 años huyendo de todo, Álvaro regresa a Galicia,a su pueblo natal, para el entierro de su padre. Allí se reencontrará con su hermano y su hija, a la que abandonó. En medio de este clima de rechazo y rencor, Álvaro encuentra el cadáver de una prostituta en la carretera. Temiendo por la seguridad de su hija, empezará a investigar, descubriendo que todo el mundo parece tener algo que esconder."
"30168","Olive, una más entre los estudiantes del instituto, decide fingir llevar una vida promiscua para ganar popularidad, creyendo que su nueva imagen de \"chica fácil\" va a darle algún beneficio. Aunque a veces tanta popularidad puede volverse en tu contra..."
"13121","Doug MacRay, jefe de una banda de atracadores de bancos de Boston al que le gustaría cambiar de vida, se esfuerza por controlar sus sentimientos por Claire Keesey, la directora de uno de los bancos, relacionada con uno de sus primeros golpes, mientras intenta esquivar al agente del FBI Frawley, que le persigue."
"10506","Documental que nos sumerge en el universo de la música brasileña de la mano de Maria Bethânia, su cantante más popular. Maria deja que penetremos en la intimidad de su trabajo, ofreciendo al espectador la posibilidad de comprender mejor, y desde el interior, la historia de la música brasileña. "
"15989","Marieta se llama en realidad Adolfo, aunque quiera dejar de ser Adolfo. Además, sufre de narcolepsia, por lo que se queda dormida en los momentos menos oportunos. En sus sueños, Marieta canta, baila y habla idiomas, en un mundo alegre y colorido. "
"29446","Un convicto recién fugado de la cárcel, tratará de recuperar un botín escondido años atrás en una solitaria y apartada aldea; pero lo que allí encontrará supone una condena aún mayor de la que ya huyó. Siniestros ancianos, extrañas desapariciones, espíritus, un peculiar sacerdote y hasta el mismísimo arcipreste de Santiago cruzarán sus caminos en una historia de terror, humor y fantasía."
"25018","Documental sobre la banda canadiense de heavy metal Anvil, formada por Steve 'Lips' Kudlow y Robb Reiner, y una de las más populares del país. El realizador Sacha Gervasi les sigue en la grabación de su decimotercer disco y en su última gira europea. "
"117922","Campeonato WWF: Stone Cold Steve Austin vs. Triple H vs. Humanidad, WWF Intercontinental / European Championship: Jeff Jarrett vs. D'Lo Brown, WWF Tag Team Championship: X-Pac & Kane vs. The Big Show & The Undertaker, WWF "
"41526","Basado en una historia real. En 1986 Freidoune Sahebjam, un periodista francés, viaja a un pequeño pueblo de Irán. Allí, una mujer, Zahra, le revela la verdad de lo que está pasando en el pueblo: Soraya M. es víctima de una conspiración capitaneada por su marido, que la acusa de adulterio. Ha sido condenada a la lapidación, pero Zahra no está dispuesta a callar, quiere demostrar su inocencia. "
"19704","Lucy Hill es una ambiciosa ejecutiva a la que lo único que le importa son los zapatos, los coches y un ascenso. Cuando le ofrecen un traslado temporal para reestructurar una fábrica en medio de la nada, no duda en decir que sí, pensando que su posible ascenso está cerca. Lo que empieza como un trabajo fácil, acabará cambiando por completo la vida de Lucy. "
