"movie_id","runtime","budget","revenue","homepage"
"199","111","46000000","150000000","http://www.startrek.com/startrek/view/series/MOV/008/index.html"
"200","103","70000000","118000000",""
"201","117","60000000","67312826",""
"203","110","500000","0",""
"204","150","0","0",""
"205","121","17500000","38000000","http://www.hotelrwanda.com/intro.html"
"206","89","0","0",""
"207","128","0","239500000",""
"211","90","0","0",""
"212","118","1120175","0",""
"213","136","4326000","9800000",""
"214","108","10000000","0","http://www.saw3.com/"
"215","93","4000000","147700000","http://www.saw2.com/"
"216","89","130000","0",""
"217","140","125000000","520141229","http://www.indianajones.com/site/index.html"
"218","108","6400000","78371200",""
"219","120","0","0","http://www.volver-lapelicula.com"
"220","115","0","0",""
"221","111","1500000","0",""
"222","69","0","0",""
"223","130","1288000","0",""
"224","165","0","0",""
"225","153","0","0",""
"226","118","2000000","21000000",""
"227","91","10000000","25697647",""
"228","108","0","0",""
"229","75","400000","0",""
"231","128","50000000","94000000","http://syrianamovie.warnerbros.com/"
"232","94","10000000","2500000",""
"233","117","0","0",""
"234","71","0","0",""
"235","85","8000000","52287000",""
"236","106","3000000","15119639",""
"237","93","6400000","2500000","http://www.sonyclassics.com/youngadam/"
"238","175","6000000","245066411",""
"239","120","3500000","25000000",""
"240","200","13000000","47542841",""
"241","118","50000000","50282766",""
"242","162","54000000","136766062",""
"243","114","30000000","47126295",""
"244","100","670000","10000000",""
"245","101","27000000","129000000","http://movies.uip.de/aboutaboy/"
"246","111","0","32300000",""
"247","85","320000","0",""
"248","136","2900000","5000000",""
"249","112","0","0",""
"250","91","0","0",""
"251","128","22000000","505000000",""
"252","100","2900000","4000000",""
"253","121","7000000","161777836","http://www.mgm.com/title_title.do?title_star=LIVEANDL"
"254","187","207000000","550000000","http://movies.uip.de/kingkong/"
"255","96","0","0",""
"256","29","0","0",""
"257","130","50000000","42093706","http://www.olivertwistthemovie.co.uk/"
"258","94","0","0",""
"259","89","0","0",""
"260","87","0","0",""
"261","108","3000000","17000000",""
"262","109","20000000","0",""
"265","120","0","0",""
"266","103","900000","0",""
"267","103","0","0",""
"268","126","35000000","413200000",""
"269","87","0","0",""
"270","98","350000","0",""
"271","126","0","0",""
"272","141","150000000","371853783","http://www2.warnerbros.com/batmanbegins/index.html"
"273","107","250000","0","http://www.dasweisserauschen.de/"
"274","118","19000000","272742922",""
"275","98","7000000","60611975","http://www.themoviefargo.com/"
"276","127","0","0",""
"277","116","22000000","95708457","http://www.sonypictures.com/movies/underworld/site/main.html"
"278","142","25000000","58500000",""
"279","160","18000000","56000000",""
"280","137","100000000","520000000",""
"281","145","42000000","0","www.strange-days.com"
"284","125","3000000","25000000",""
"285","180","110000000","401055000","http://disney.go.com/disneypictures/pirates/"
"286","107","0","0",""
"287","108","7000000","50888000",""
"288","85","750000","0",""
"289","102","950000","10462500",""
"290","116","9000000","6153939",""
"291","105","2600000","3166000","http://www.sonyclassics.com/ridinggiants/"
"292","100","3000000","11718595","http://www.chappellesblockparty.com/home.html"
"293","123","0","43440294",""
"294","97","350000","2400000",""
"296","109","187300000","435000000","http://www.terminator-3.de/"
"297","178","90000000","142940100","http://www.meetjoeblack.com/"
"298","122","100000000","311312624","http://oceans13.warnerbros.com/"
"299","127","0","0",""
"300","105","6000000","9524340","http://www.lasciencedesreves-lefilm.com/accueil.htm"
"301","144","0","0",""
"302","102","0","22441323","http://www.marsdistribution.com/xml/flash.html?cfilm=46022"
"303","101","2000000","8000000",""
"306","104","50000000","42614912",""
"307","105","0","0",""
"308","105","0","45742101",""
"309","105","1300000","0",""
"310","101","80000000","484572835","http://www.brucealmighty.com/"
"311","229","20000000","5321508",""
"312","109","0","0",""
"313","112","0","0",""
"314","104","85000000","0",""
"315","83","45000","0",""
"316","111","600000","0",""
"317","90","0","0","http://www.esmasgeheimnis.de/"
"318","122","8000000","0",""
"319","121","12500000","12281551",""
"320","118","46000000","67000000",""
"321","92","4361898","0","http://mamboitaliano.ca/"
"322","137","30000000","0","http://www.warnerbros.de/movies/mysticriver/"
"326","105","0","0",""
"327","114","12000000","15250000","http://www.office-kitano.co.jp/brother/index.html"
"329","127","63000000","920100000","http://www.jurassicpark.com/"
"330","129","75000000","786686679",""
"331","92","93000000","368780809",""
"332","75","75000000","134403112",""
"333","101","0","0",""
"334","188","37000000","48451803","http://www.magnoliamovie.com/"
"335","165","5000000","0","http://www.spielmirdasliedvomtod.com/index_1.html"
"336","121","0","0",""
"337","94","0","11576431","http://www.sonyclassics.com/ibrahim/aboutcast.html"
"338","121","4800000","79384880","http://www.good-bye-lenin.de/index2.php"
"339","129","0","2015810",""
"340","106","7000000","2697930","http://wip.warnerbros.com/everythingisilluminated/"
"341","100","0","0",""
"342","98","2700000","0","http://www.sommersturm.de/main.html"
"343","91","1200000","0",""
"344","110","0","0","http://www.bangboombang.de/"
"345","159","65000000","162091208","http://eyeswideshut.warnerbros.com/"
"346","207","0","0",""
"347","74","0","0",""
"348","117","11000000","104931801",""
"349","93","0","0","http://www.crustaces-lefilm.com/"
"350","106","35000000","311695026","http://www.devilwearspradamovie.com/"
"351","88","1000000","0","http://www.sehnsucht-der-film.de/"
"363","121","0","435395","http://www.gegendiewand.de/"
"364","126","80000000","280000000",""
"377","91","1800000","0",""
"378","94","6000000","29180280",""
